token,n,logprob
established,38.0,-3.433137947533891
claim,44.0,-3.2865344733420154
term,53.0,-3.100432193708155
message,8.0,-4.991282565580441
mentoring,131.0,-2.1955267840591253
www.kenoamerica.com,44.0,-3.2865344733420154
hesitate,33.0,-3.5742165457937967
grantstar,130.0,-2.2031896568046943
firms,39.0,-3.40716246113063
"2,500",39.0,-3.40716246113063
entrepreneurs,50.0,-3.1587011018321305
jun,71.0,-2.8080442302189614
decided,127.0,-2.2265370208016853
care,39.0,-3.40716246113063
funding,49.0,-3.17890380914965
micromentor,82.0,-2.6640048599960235
investment,162.0,-1.9831277720278926
www.micromentor.org,39.0,-3.40716246113063
keno,44.0,-3.2865344733420154
details,72.0,-2.7940579882442216
contact,231.0,-1.6283063967384832
samuel,12.0,-4.5858174574722765
securing,129.0,-2.2109117028986045
shares,53.0,-3.100432193708155
kindly,170.0,-1.934925670210015
proceed,53.0,-3.100432193708155
overwhelming,13.0,-4.50577474979874
kenoamerica.com,44.0,-3.2865344733420154
lucrative,85.0,-2.6280728507699602
heights,11.0,-4.672828834461907
ticket,44.0,-3.2865344733420154
bidders,39.0,-3.40716246113063
purchase,39.0,-3.40716246113063
dollars,44.0,-3.2865344733420154
sales,39.0,-3.40716246113063
touch,33.0,-3.5742165457937967
user's,44.0,-3.2865344733420154
confidence,53.0,-3.100432193708155
peterson,39.0,-3.40716246113063
www.grantstar.org,129.0,-2.2109117028986045
commission,39.0,-3.40716246113063
contribute,13.0,-4.50577474979874
paxful,39.0,-3.40716246113063
ashley,10.0,-4.768139014266231
reply,77.0,-2.7269186854065928
trade,39.0,-3.40716246113063
raffle,44.0,-3.2865344733420154
short,55.0,-3.0633909220278057
instantly,39.0,-3.40716246113063
congratulations,44.0,-3.2865344733420154
www.paxful.com,24.0,-3.892670276912331
8,39.0,-3.40716246113063
searching,33.0,-3.5742165457937967
financial,53.0,-3.100432193708155
low,40.0,-3.38184465314634
awarded,44.0,-3.2865344733420154
capital,33.0,-3.5742165457937967
david,13.0,-4.50577474979874
drive,11.0,-4.672828834461907
viable,54.0,-3.0817400606960024
organization,128.0,-2.2186938433406596
tools,11.0,-4.672828834461907
gmail.com,179.0,-1.8833383014195217
mentorship,128.0,-2.2186938433406596
cornelius,9.0,-4.873499529924057
read,6.0,-5.278964638032222
sums,72.0,-2.7940579882442216
draw,44.0,-3.2865344733420154
winner,44.0,-3.2865344733420154
business,234.0,-1.6154029919025752
team,44.0,-3.2865344733420154
gregory,43.0,-3.309523991566714
inherited,72.0,-2.7940579882442216
conducted,44.0,-3.2865344733420154
partnership,96.0,-2.5063759157924403
send,43.0,-3.309523991566714
jane,8.0,-4.991282565580441
dickens,10.0,-4.768139014266231
hiette,10.0,-4.768139014266231
submit,39.0,-3.40716246113063
vilaran,75.0,-2.7532359937239663
assigned,39.0,-3.40716246113063
giftcard,39.0,-3.40716246113063
awaits,33.0,-3.5742165457937967
purchasing,39.0,-3.40716246113063
experience,14.0,-4.4316667776450185
subject,39.0,-3.40716246113063
funds,72.0,-2.7940579882442216
chuinard,10.0,-4.768139014266231
yearly,44.0,-3.2865344733420154
cultural,11.0,-4.672828834461907
grants,133.0,-2.1803749790385227
18,39.0,-3.40716246113063
jin,37.0,-3.459806194616052
traders,39.0,-3.40716246113063
hope,76.0,-2.7399907669739454
rfp's,1.0,-7.0707241072602764
9047,1.0,-7.0707241072602764
euro,1.0,-7.0707241072602764
stylish,1.0,-7.0707241072602764
natural,1.0,-7.0707241072602764
choose,1.0,-7.0707241072602764
eg.linkedin.com,1.0,-7.0707241072602764
"5,500.00",1.0,-7.0707241072602764
pioneer,1.0,-7.0707241072602764
chriscruzrnd,1.0,-7.0707241072602764
danny,1.0,-7.0707241072602764
zartonkptpi,1.0,-7.0707241072602764
greased,1.0,-7.0707241072602764
mak,1.0,-7.0707241072602764
richardson,1.0,-7.0707241072602764
dejame,1.0,-7.0707241072602764
amy,1.0,-7.0707241072602764
shopper,1.0,-7.0707241072602764
elisabeth,1.0,-7.0707241072602764
residential,1.0,-7.0707241072602764
solutions,1.0,-7.0707241072602764
county,1.0,-7.0707241072602764
goldman,1.0,-7.0707241072602764
basket,1.0,-7.0707241072602764
lawn,1.0,-7.0707241072602764
drawings,1.0,-7.0707241072602764
wishes,1.0,-7.0707241072602764
busier,1.0,-7.0707241072602764
stellar,1.0,-7.0707241072602764
roy,1.0,-7.0707241072602764
beta,1.0,-7.0707241072602764
architect,1.0,-7.0707241072602764
nys,1.0,-7.0707241072602764
793,1.0,-7.0707241072602764
globalchoice1,1.0,-7.0707241072602764
mocevic,1.0,-7.0707241072602764
truck,1.0,-7.0707241072602764
laguna,1.0,-7.0707241072602764
lasted,1.0,-7.0707241072602764
rework,1.0,-7.0707241072602764
wi,1.0,-7.0707241072602764
commitment,1.0,-7.0707241072602764
embroidery,1.0,-7.0707241072602764
checklist,1.0,-7.0707241072602764
osagha,1.0,-7.0707241072602764
recover,1.0,-7.0707241072602764
roselin,1.0,-7.0707241072602764
creators,1.0,-7.0707241072602764
passion,1.0,-7.0707241072602764
38,1.0,-7.0707241072602764
fabio,1.0,-7.0707241072602764
atencion,1.0,-7.0707241072602764
0.50,1.0,-7.0707241072602764
gonomukhi,1.0,-7.0707241072602764
finalize,1.0,-7.0707241072602764
patronage,1.0,-7.0707241072602764
boredom,1.0,-7.0707241072602764
washes,1.0,-7.0707241072602764
ingun,1.0,-7.0707241072602764
oils,1.0,-7.0707241072602764
cameras,1.0,-7.0707241072602764
translation,1.0,-7.0707241072602764
courts,1.0,-7.0707241072602764
imani,1.0,-7.0707241072602764
allowance,1.0,-7.0707241072602764
perfection,1.0,-7.0707241072602764
prototypes,1.0,-7.0707241072602764
envelope,1.0,-7.0707241072602764
ofrece,1.0,-7.0707241072602764
100s,1.0,-7.0707241072602764
drove,1.0,-7.0707241072602764
lomas,1.0,-7.0707241072602764
ces,1.0,-7.0707241072602764
afternoons,1.0,-7.0707241072602764
returns,1.0,-7.0707241072602764
brent,1.0,-7.0707241072602764
significa,1.0,-7.0707241072602764
friendly,1.0,-7.0707241072602764
incredibly,1.0,-7.0707241072602764
celebrity,1.0,-7.0707241072602764
niches,1.0,-7.0707241072602764
banerji,1.0,-7.0707241072602764
permite,1.0,-7.0707241072602764
53,1.0,-7.0707241072602764
616,1.0,-7.0707241072602764
lit,1.0,-7.0707241072602764
workshop,1.0,-7.0707241072602764
convincing,1.0,-7.0707241072602764
multifaceted,1.0,-7.0707241072602764
lennonbus.org,1.0,-7.0707241072602764
paper,1.0,-7.0707241072602764
accessed,1.0,-7.0707241072602764
hk,1.0,-7.0707241072602764
initiated,1.0,-7.0707241072602764
publish,1.0,-7.0707241072602764
sig2,1.0,-7.0707241072602764
deanna,1.0,-7.0707241072602764
heart,1.0,-7.0707241072602764
sexual,1.0,-7.0707241072602764
calendars,1.0,-7.0707241072602764
fonts,1.0,-7.0707241072602764
tommorow,1.0,-7.0707241072602764
dismissed,1.0,-7.0707241072602764
cultures,1.0,-7.0707241072602764
shore,1.0,-7.0707241072602764
durable,1.0,-7.0707241072602764
frederick,1.0,-7.0707241072602764
jess,1.0,-7.0707241072602764
abrir,1.0,-7.0707241072602764
onboard,1.0,-7.0707241072602764
expenditure,1.0,-7.0707241072602764
mariusz,1.0,-7.0707241072602764
family,1.0,-7.0707241072602764
creative's,1.0,-7.0707241072602764
constantin,1.0,-7.0707241072602764
pk,1.0,-7.0707241072602764
yt,1.0,-7.0707241072602764
jenny,1.0,-7.0707241072602764
static,1.0,-7.0707241072602764
decades,1.0,-7.0707241072602764
equipment’s,1.0,-7.0707241072602764
fillers,1.0,-7.0707241072602764
oyakhilome,1.0,-7.0707241072602764
height,1.0,-7.0707241072602764
business.html,1.0,-7.0707241072602764
mike,1.0,-7.0707241072602764
pinterest.com,1.0,-7.0707241072602764
amateur,1.0,-7.0707241072602764
año,1.0,-7.0707241072602764
functionality,1.0,-7.0707241072602764
hillary,1.0,-7.0707241072602764
ingeniero,1.0,-7.0707241072602764
efforts,1.0,-7.0707241072602764
serían,1.0,-7.0707241072602764
lateness,1.0,-7.0707241072602764
capable,1.0,-7.0707241072602764
prioritized,1.0,-7.0707241072602764
householders,1.0,-7.0707241072602764
sherry,1.0,-7.0707241072602764
manages,1.0,-7.0707241072602764
bedford,1.0,-7.0707241072602764
mentor's,1.0,-7.0707241072602764
buses,1.0,-7.0707241072602764
coastal,1.0,-7.0707241072602764
seguimos,1.0,-7.0707241072602764
hemp,1.0,-7.0707241072602764
informática,1.0,-7.0707241072602764
wednesday,1.0,-7.0707241072602764
belated,1.0,-7.0707241072602764
longterm,1.0,-7.0707241072602764
lindsey,1.0,-7.0707241072602764
mia,1.0,-7.0707241072602764
lawsuit,1.0,-7.0707241072602764
you.long,1.0,-7.0707241072602764
417,1.0,-7.0707241072602764
conocernos,1.0,-7.0707241072602764
semester,1.0,-7.0707241072602764
redevelopment,1.0,-7.0707241072602764
stack,1.0,-7.0707241072602764
meidimi,1.0,-7.0707241072602764
weekdays,1.0,-7.0707241072602764
batch,1.0,-7.0707241072602764
intent,1.0,-7.0707241072602764
clunky,1.0,-7.0707241072602764
oates,1.0,-7.0707241072602764
purchasers,1.0,-7.0707241072602764
5.00,1.0,-7.0707241072602764
motivational,1.0,-7.0707241072602764
transparent,1.0,-7.0707241072602764
developing,1.0,-7.0707241072602764
orientated,1.0,-7.0707241072602764
errors,1.0,-7.0707241072602764
coming,1.0,-7.0707241072602764
parents,1.0,-7.0707241072602764
moms,1.0,-7.0707241072602764
virus,1.0,-7.0707241072602764
lett,1.0,-7.0707241072602764
innovating,1.0,-7.0707241072602764
theirselves,1.0,-7.0707241072602764
gofundme,1.0,-7.0707241072602764
bs,1.0,-7.0707241072602764
politics,1.0,-7.0707241072602764
laser,1.0,-7.0707241072602764
credit,1.0,-7.0707241072602764
explaining,1.0,-7.0707241072602764
nova,1.0,-7.0707241072602764
church,1.0,-7.0707241072602764
rudimentary,1.0,-7.0707241072602764
stephen,1.0,-7.0707241072602764
ammar,1.0,-7.0707241072602764
patenting,1.0,-7.0707241072602764
instinct,1.0,-7.0707241072602764
tail,1.0,-7.0707241072602764
referals,1.0,-7.0707241072602764
result,1.0,-7.0707241072602764
visibility,1.0,-7.0707241072602764
3x,1.0,-7.0707241072602764
2003,1.0,-7.0707241072602764
packet,1.0,-7.0707241072602764
condos,1.0,-7.0707241072602764
forecasts,1.0,-7.0707241072602764
anand,1.0,-7.0707241072602764
involves,1.0,-7.0707241072602764
rotating,1.0,-7.0707241072602764
blogger.com,1.0,-7.0707241072602764
imagining,1.0,-7.0707241072602764
359,1.0,-7.0707241072602764
lashes,1.0,-7.0707241072602764
balachandar,1.0,-7.0707241072602764
killing,1.0,-7.0707241072602764
pinpoint,1.0,-7.0707241072602764
kills,1.0,-7.0707241072602764
alivemind.com,1.0,-7.0707241072602764
retrieved,1.0,-7.0707241072602764
harkinger,1.0,-7.0707241072602764
jim,1.0,-7.0707241072602764
cafes,1.0,-7.0707241072602764
www.impute.me,1.0,-7.0707241072602764
kiosk,1.0,-7.0707241072602764
canyon,1.0,-7.0707241072602764
energized,1.0,-7.0707241072602764
proved,1.0,-7.0707241072602764
declined,1.0,-7.0707241072602764
assessments,1.0,-7.0707241072602764
graduating,1.0,-7.0707241072602764
boutiques,1.0,-7.0707241072602764
jh,1.0,-7.0707241072602764
ecourses,1.0,-7.0707241072602764
aprendido,1.0,-7.0707241072602764
anas,1.0,-7.0707241072602764
cajuste,1.0,-7.0707241072602764
phrases,1.0,-7.0707241072602764
allotted,1.0,-7.0707241072602764
línea,1.0,-7.0707241072602764
institute,1.0,-7.0707241072602764
unilaterally,1.0,-7.0707241072602764
survivors,1.0,-7.0707241072602764
reachable,1.0,-7.0707241072602764
competing,1.0,-7.0707241072602764
urls,1.0,-7.0707241072602764
peruse,1.0,-7.0707241072602764
885,1.0,-7.0707241072602764
1k,1.0,-7.0707241072602764
kedar,1.0,-7.0707241072602764
constantly,1.0,-7.0707241072602764
derek,1.0,-7.0707241072602764
supplement,1.0,-7.0707241072602764
capitalists,1.0,-7.0707241072602764
aesthetically,1.0,-7.0707241072602764
necklaces,1.0,-7.0707241072602764
tinkering,1.0,-7.0707241072602764
imaginary,1.0,-7.0707241072602764
deeper,1.0,-7.0707241072602764
301,1.0,-7.0707241072602764
11.30,1.0,-7.0707241072602764
ruined,1.0,-7.0707241072602764
repayment,1.0,-7.0707241072602764
consiste,1.0,-7.0707241072602764
divorced,1.0,-7.0707241072602764
katherine,1.0,-7.0707241072602764
ceo's,1.0,-7.0707241072602764
acknowledge,1.0,-7.0707241072602764
mohamed,1.0,-7.0707241072602764
obtaining,1.0,-7.0707241072602764
rcs,1.0,-7.0707241072602764
conception,1.0,-7.0707241072602764
notion,1.0,-7.0707241072602764
appriciate,1.0,-7.0707241072602764
requests,1.0,-7.0707241072602764
subcontract,1.0,-7.0707241072602764
image.net,1.0,-7.0707241072602764
cristóbal,1.0,-7.0707241072602764
ard,1.0,-7.0707241072602764
vis,1.0,-7.0707241072602764
rights,1.0,-7.0707241072602764
millennial,1.0,-7.0707241072602764
7pm,1.0,-7.0707241072602764
scenario,1.0,-7.0707241072602764
dashboard,1.0,-7.0707241072602764
healthyme,1.0,-7.0707241072602764
mentoría,1.0,-7.0707241072602764
descriptions,1.0,-7.0707241072602764
9th,1.0,-7.0707241072602764
submission,1.0,-7.0707241072602764
500k,1.0,-7.0707241072602764
4332,1.0,-7.0707241072602764
ebenstein,1.0,-7.0707241072602764
flujo,1.0,-7.0707241072602764
1.00,1.0,-7.0707241072602764
multifamily,1.0,-7.0707241072602764
acknowledgement,1.0,-7.0707241072602764
definite,1.0,-7.0707241072602764
disastrous,1.0,-7.0707241072602764
frustrated,1.0,-7.0707241072602764
burn,1.0,-7.0707241072602764
cattle,1.0,-7.0707241072602764
availably,1.0,-7.0707241072602764
samsung,1.0,-7.0707241072602764
adobe,1.0,-7.0707241072602764
teacher,1.0,-7.0707241072602764
openning,1.0,-7.0707241072602764
forever,1.0,-7.0707241072602764
internationally,1.0,-7.0707241072602764
brighter,1.0,-7.0707241072602764
transferring,1.0,-7.0707241072602764
combining,1.0,-7.0707241072602764
harriet,1.0,-7.0707241072602764
elis,1.0,-7.0707241072602764
archived,1.0,-7.0707241072602764
lincoln,1.0,-7.0707241072602764
su,1.0,-7.0707241072602764
gvdibello,1.0,-7.0707241072602764
fires,1.0,-7.0707241072602764
cohesive,1.0,-7.0707241072602764
cc,1.0,-7.0707241072602764
techniques,1.0,-7.0707241072602764
emprendedor,1.0,-7.0707241072602764
perceive,1.0,-7.0707241072602764
aggravated,1.0,-7.0707241072602764
terapista,1.0,-7.0707241072602764
web,1.0,-7.0707241072602764
0546,1.0,-7.0707241072602764
curtain,1.0,-7.0707241072602764
parte,1.0,-7.0707241072602764
fresheners,1.0,-7.0707241072602764
2006,1.0,-7.0707241072602764
reconstruction,1.0,-7.0707241072602764
workplace,1.0,-7.0707241072602764
enrollment,1.0,-7.0707241072602764
gender,1.0,-7.0707241072602764
operationally,1.0,-7.0707241072602764
administrators,1.0,-7.0707241072602764
fed,1.0,-7.0707241072602764
compromised,1.0,-7.0707241072602764
rarely,1.0,-7.0707241072602764
jerry,1.0,-7.0707241072602764
twin,1.0,-7.0707241072602764
homeland,1.0,-7.0707241072602764
saturdays,1.0,-7.0707241072602764
appreciable,1.0,-7.0707241072602764
www.lunchbox,1.0,-7.0707241072602764
d.c,1.0,-7.0707241072602764
someone's,1.0,-7.0707241072602764
differentiates,1.0,-7.0707241072602764
10.00,1.0,-7.0707241072602764
competition,1.0,-7.0707241072602764
frontend,1.0,-7.0707241072602764
cv,1.0,-7.0707241072602764
sigo,1.0,-7.0707241072602764
cheesecakes,1.0,-7.0707241072602764
enquiring,1.0,-7.0707241072602764
enjoyment,1.0,-7.0707241072602764
sheffie,1.0,-7.0707241072602764
averse,1.0,-7.0707241072602764
unpaid,1.0,-7.0707241072602764
faciliter,1.0,-7.0707241072602764
staten,1.0,-7.0707241072602764
researchers,1.0,-7.0707241072602764
startegy,1.0,-7.0707241072602764
themed,1.0,-7.0707241072602764
stewardship,1.0,-7.0707241072602764
trucks,1.0,-7.0707241072602764
stranded,1.0,-7.0707241072602764
budding,1.0,-7.0707241072602764
spidycode,1.0,-7.0707241072602764
llamada,1.0,-7.0707241072602764
breakeven,1.0,-7.0707241072602764
thumb,1.0,-7.0707241072602764
bureaucracy,1.0,-7.0707241072602764
prayerfully,1.0,-7.0707241072602764
pregnancy,1.0,-7.0707241072602764
laurel,1.0,-7.0707241072602764
upgrade,1.0,-7.0707241072602764
foreclosures,1.0,-7.0707241072602764
45pm,1.0,-7.0707241072602764
orleans,1.0,-7.0707241072602764
gonna,1.0,-7.0707241072602764
financially,1.0,-7.0707241072602764
spencer,1.0,-7.0707241072602764
animation,1.0,-7.0707241072602764
grounded,1.0,-7.0707241072602764
greeting,1.0,-7.0707241072602764
horas,1.0,-7.0707241072602764
structures,1.0,-7.0707241072602764
refrigerator,1.0,-7.0707241072602764
dominican,1.0,-7.0707241072602764
dahyo,1.0,-7.0707241072602764
sneaker,1.0,-7.0707241072602764
mitesh,1.0,-7.0707241072602764
oscar,1.0,-7.0707241072602764
setter,1.0,-7.0707241072602764
asesoría,1.0,-7.0707241072602764
mansfield,1.0,-7.0707241072602764
quisiera,1.0,-7.0707241072602764
creativo,1.0,-7.0707241072602764
genres,1.0,-7.0707241072602764
sibabale,1.0,-7.0707241072602764
navigated,1.0,-7.0707241072602764
traffic,1.0,-7.0707241072602764
blow,1.0,-7.0707241072602764
mail.i,1.0,-7.0707241072602764
daughter,1.0,-7.0707241072602764
trae,1.0,-7.0707241072602764
pareció,1.0,-7.0707241072602764
property.html,1.0,-7.0707241072602764
bakers,1.0,-7.0707241072602764
scarcity,1.0,-7.0707241072602764
socialites,1.0,-7.0707241072602764
paballo,1.0,-7.0707241072602764
gun,1.0,-7.0707241072602764
olga,1.0,-7.0707241072602764
chairman,1.0,-7.0707241072602764
230,1.0,-7.0707241072602764
getter,1.0,-7.0707241072602764
resigned,1.0,-7.0707241072602764
ordinary,1.0,-7.0707241072602764
"400,000",1.0,-7.0707241072602764
diffrent,1.0,-7.0707241072602764
keon,1.0,-7.0707241072602764
cements,1.0,-7.0707241072602764
grunt,1.0,-7.0707241072602764
apparent,1.0,-7.0707241072602764
index.php,1.0,-7.0707241072602764
familia,1.0,-7.0707241072602764
effective,1.0,-7.0707241072602764
raw,1.0,-7.0707241072602764
pursuits,1.0,-7.0707241072602764
sells,1.0,-7.0707241072602764
suggestions,1.0,-7.0707241072602764
merchants,1.0,-7.0707241072602764
fola,1.0,-7.0707241072602764
1348,1.0,-7.0707241072602764
hills,1.0,-7.0707241072602764
couching,1.0,-7.0707241072602764
www.kaggle.com,1.0,-7.0707241072602764
louoates.com,1.0,-7.0707241072602764
microfinance,1.0,-7.0707241072602764
coschedule.com,1.0,-7.0707241072602764
drew,1.0,-7.0707241072602764
temperature,1.0,-7.0707241072602764
olawale,1.0,-7.0707241072602764
josé,1.0,-7.0707241072602764
privately,1.0,-7.0707241072602764
planners,1.0,-7.0707241072602764
raised,1.0,-7.0707241072602764
regulated,1.0,-7.0707241072602764
disconnected,1.0,-7.0707241072602764
annabelle,1.0,-7.0707241072602764
chefs,1.0,-7.0707241072602764
pronunciation,1.0,-7.0707241072602764
azia,1.0,-7.0707241072602764
yang,1.0,-7.0707241072602764
optimize,1.0,-7.0707241072602764
underwriter,1.0,-7.0707241072602764
mortati,1.0,-7.0707241072602764
spectacular,1.0,-7.0707241072602764
simulated,1.0,-7.0707241072602764
rakhi,1.0,-7.0707241072602764
surrender,1.0,-7.0707241072602764
acquiring,1.0,-7.0707241072602764
enormous,1.0,-7.0707241072602764
premiere,1.0,-7.0707241072602764
está,1.0,-7.0707241072602764
portions,1.0,-7.0707241072602764
baker,1.0,-7.0707241072602764
boutique,1.0,-7.0707241072602764
deleting,1.0,-7.0707241072602764
digest,1.0,-7.0707241072602764
generators,1.0,-7.0707241072602764
personalized,1.0,-7.0707241072602764
explains,1.0,-7.0707241072602764
erik,1.0,-7.0707241072602764
comienzo,1.0,-7.0707241072602764
chores,1.0,-7.0707241072602764
commercials,1.0,-7.0707241072602764
morales,1.0,-7.0707241072602764
mailings,1.0,-7.0707241072602764
retailing,1.0,-7.0707241072602764
households,1.0,-7.0707241072602764
candidates,1.0,-7.0707241072602764
trabajando,1.0,-7.0707241072602764
urgent,1.0,-7.0707241072602764
automate,1.0,-7.0707241072602764
digging,1.0,-7.0707241072602764
peacewalkway.org,1.0,-7.0707241072602764
moss,1.0,-7.0707241072602764
lithuania,1.0,-7.0707241072602764
branding,1.0,-7.0707241072602764
predicament,1.0,-7.0707241072602764
0519,1.0,-7.0707241072602764
ignorant,1.0,-7.0707241072602764
blossoming,1.0,-7.0707241072602764
focussed,1.0,-7.0707241072602764
form,1.0,-7.0707241072602764
help.i,1.0,-7.0707241072602764
fragrance,1.0,-7.0707241072602764
selected,1.0,-7.0707241072602764
education,1.0,-7.0707241072602764
pump,1.0,-7.0707241072602764
motamedi,1.0,-7.0707241072602764
writers,1.0,-7.0707241072602764
amigos,1.0,-7.0707241072602764
unimportant,1.0,-7.0707241072602764
barrera,1.0,-7.0707241072602764
revolution,1.0,-7.0707241072602764
www.instagram.com,1.0,-7.0707241072602764
formally,1.0,-7.0707241072602764
creativescorner,1.0,-7.0707241072602764
satellite,1.0,-7.0707241072602764
mon,1.0,-7.0707241072602764
bn,1.0,-7.0707241072602764
addressing,1.0,-7.0707241072602764
restaurants,1.0,-7.0707241072602764
ne,1.0,-7.0707241072602764
assosiated,1.0,-7.0707241072602764
fax,1.0,-7.0707241072602764
setbacks,1.0,-7.0707241072602764
formation,1.0,-7.0707241072602764
pampering,1.0,-7.0707241072602764
optimise,1.0,-7.0707241072602764
93,1.0,-7.0707241072602764
attitude,1.0,-7.0707241072602764
validated,1.0,-7.0707241072602764
hst,1.0,-7.0707241072602764
sneakysquad.official,1.0,-7.0707241072602764
bmg,1.0,-7.0707241072602764
university,1.0,-7.0707241072602764
fence,1.0,-7.0707241072602764
intuition,1.0,-7.0707241072602764
resitelj.si,1.0,-7.0707241072602764
rex,1.0,-7.0707241072602764
universe,1.0,-7.0707241072602764
bus,1.0,-7.0707241072602764
luisa,1.0,-7.0707241072602764
transitional,1.0,-7.0707241072602764
guía,1.0,-7.0707241072602764
micrometer,1.0,-7.0707241072602764
896,1.0,-7.0707241072602764
flowers,1.0,-7.0707241072602764
communities,1.0,-7.0707241072602764
tot,1.0,-7.0707241072602764
baseball,1.0,-7.0707241072602764
hutterer.michael,1.0,-7.0707241072602764
inferior,1.0,-7.0707241072602764
simplify,1.0,-7.0707241072602764
consultants,1.0,-7.0707241072602764
coping,1.0,-7.0707241072602764
wonderfully,1.0,-7.0707241072602764
venden,1.0,-7.0707241072602764
framing,1.0,-7.0707241072602764
douglas,1.0,-7.0707241072602764
envisioned,1.0,-7.0707241072602764
313,1.0,-7.0707241072602764
holistic,1.0,-7.0707241072602764
spreadsheets,1.0,-7.0707241072602764
