token,n,logprob_0
live,3540,-6.880294658198367
breathe,65,-10.87778939443055
tower,210,-9.705069133608719
episode,1315,-7.870584719714323
sarcastic,74,-10.748111571122017
grin,27,-11.756339798321859
damn,171,-9.910513107823528
unhappy,69,-10.818070159728927
avoid,1812,-7.549990177723263
plague,50,-11.140153658898042
sl,17,-12.218963320269971
mar,224,-9.640530612471148
pick,750,-8.432103457795831
hole,204,-9.734056670481971
swiss,77,-10.708371242472504
cheese,72,-10.775510545310132
editor,10671,-5.776891603709623
erik,43,-11.290976548632624
cry,220,-9.658549117973825
loud,106,-10.38873757021412
legally,192,-9.794681292298407
sex,421,-9.009543830643805
child,1340,-7.85175177138123
underage,20,-12.056444390772196
beneath,52,-11.10093294574476
legal,1187,-7.972992269716519
age,1163,-7.993418511807523
consent,150,-10.04154137022993
limit,1317,-7.8690649625829066
country,3143,-6.99924362752862
mean,5106,-6.514005066524758
ireland,630,-8.60645684494061
britain,358,-9.171643677925488
topic,3440,-6.908949913958743
standard,2460,-7.244260035399779
english,4171,-6.716265570129242
scandal,142,-10.096349606724926
pov,3079,-7.019816516401687
term,4984,-6.538188603858898
allegation,586,-8.678856874749174
discussion,9453,-5.898089233900803
court,1198,-7.9637678856507925
technical,488,-8.86186125847304
reason,7244,-6.164247845322883
prosecute,55,-11.044843479093716
throw,619,-8.624071391641591
invalid,168,-9.92821268492293
roman,698,-8.503957561563816
catholic,660,-8.559936829305716
church,1374,-7.826695191543893
abuse,1226,-7.940664547830031
public,2161,-7.373850307819302
relation,681,-8.528614358176675
minor,995,-8.149433927167594
tabloid,81,-10.657727509653748
discuss,4169,-6.71674518644539
rape,296,-9.361817210002126
stop,5189,-6.497880384958448
add,18538,-5.2245987058904095
irrelevant,967,-8.177978168872894
muck,33,-11.555669102859706
lose,1431,-7.7860478847697365
lot,3938,-6.773748405127117
spell,1189,-7.9713087676354055
correction,444,-8.956352101893962
solve,484,-8.870091757609556
catch,596,-8.661935997260837
edit,35632,-4.571177274829038
conflict,1815,-7.548335917627236
scale,447,-8.949618069712619
cut,875,-8.277952777968572
paste,689,-8.51693539331253
job,1368,-7.831071566143692
version,3735,-6.82667356675927
transfer,334,-9.241035671349486
accurate,1273,-7.903045065768781
start,5122,-6.510876397566717
insane,86,-10.597829368072679
fuck,110,-10.35169629853377
location,716,-8.478496497365542
title,4501,-6.640121791033255
move,5045,-6.526023731538478
carefully,453,-8.936284538843154
word,7490,-6.130852587814922
neutral,2407,-7.266040226543115
ignorant,224,-9.640530612471148
absurd,241,-9.567379730835533
contribution,3359,-6.9327780747138945
user,12587,-5.611756850034682
ground,815,-8.348988551085325
ban,2379,-7.2777411540232295
single,2299,-7.311947139563006
bizarre,153,-10.021738742933753
claim,6567,-6.262364278135215
molest,18,-12.161804906430023
gay,424,-9.00244320909423
people,14987,-5.437238226681191
money,787,-8.383948415908785
due,1920,-7.49209619930436
exclusion,74,-10.748111571122017
society,777,-8.39673631395854
force,1979,-7.461829718723622
evolve,157,-9.995930858977879
hard,2006,-7.448278695804307
threat,838,-8.321158563844104
homosexual,154,-10.015224061912559
delete,12921,-5.585567490603967
remember,2041,-7.430981501516342
fix,2451,-7.247925280798075
censor,468,-8.903708368408541
list,11804,-5.675982928263357
bad,3344,-6.9372536901215955
information,11164,-5.731727069669975
support,5084,-6.518323032016843
change,8157,-6.045544931025607
repeat,1055,-8.090880618416021
offender,74,-10.748111571122017
islamofascism,7,-13.106266515270875
rant,214,-9.686200649304336
spend,842,-8.316396650083862
time,13627,-5.532368266576366
explicitly,413,-9.028729071365154
tell,2135,-7.385954738663463
wrong,4244,-6.6989151645923135
submission,443,-8.958606894281052
moderate,122,-10.24815561959293
slight,199,-9.758871839601696
whine,75,-10.734688550789876
baby,253,-9.518787175598668
boob,6,-13.260417195098132
cheating,51,-11.120351031601862
rule,4068,-6.741269907157736
undeletion,49,-11.160356366215561
request,6478,-6.276009564594913
page,51009,-4.212419297600592
image,14325,-5.482415122743247
restore,1328,-7.860747334289808
vote,1847,-7.530858684126947
remain,1663,-7.63579818513326
period,1312,-7.872868694822153
ten,560,-8.724239880596992
day,5849,-6.378150678883162
give,939,-8.207361185117925
chance,1061,-8.085209525712205
agree,5477,-6.443863879542466
nomination,1144,-8.009890492386445
object,1009,-8.135461643972578
opinion,4804,-6.574972481126313
count,1178,-7.980603300114655
existence,580,-8.689148560785723
week,2402,-7.268119661686258
log,1764,-7.576837427759451
requirement,548,-8.745901377378171
initial,395,-9.073290899425066
author,2046,-7.428534717814616
prior,742,-8.442827421158807
elapse,19,-12.107737685159748
undelete,55,-11.044843479093716
majority,1041,-8.104239595711219
favor,535,-8.76990991743018
undeleted,34,-11.525816139710026
sysop,120,-10.264684921544141
few,116,-10.298586473219823
deletion,11517,-5.70059718065728
leave,7395,-6.143617289181288
talk,22923,-5.012280612010511
happen,2582,-7.195857092919599
temporarily,163,-9.958426463519425
policy,7558,-6.121814780416753
exact,703,-8.496819772515522
respect,1278,-7.899125029388707
quietly,39,-11.38861501819654
testing,300,-9.348394189669987
laundry,23,-11.916682448397038
stupid,360,-9.166072632876032
scoop,16,-12.279587942086406
god,1758,-7.580244586081065
third,23,-11.916682448397038
basis,859,-8.296407742341932
nazi,483,-8.872160010673614
filth,17,-12.218963320269971
impolite,25,-11.833300839457987
twig,7,-13.106266515270875
distinction,382,-9.106756055719613
branch,286,-9.396184853506334
structural,64,-10.893293580966516
element,578,-8.69260279565381
represent,1066,-8.080508059600398
fairly,658,-8.56297173300087
mature,103,-10.417447676096552
tissue,49,-11.160356366215561
hand,1888,-7.508903317620741
specifically,1156,-7.999455615093865
bear,1572,-7.692072691337035
flower,100,-10.447006478338096
fruit,120,-10.264684921544141
bud,33,-11.555669102859706
markedly,14,-12.41311933471093
bark,31,-11.618189459841041
appearance,494,-8.849641147138264
critically,33,-11.555669102859706
species,412,-9.031153314976661
identification,105,-10.398216314168664
separate,1442,-7.778390346481293
reflect,966,-8.179012830113669
make,2665,-7.164217327726242
comment,10825,-5.7625631114554965
confuse,738,-8.448232839725716
christian,1414,-7.7979988178696695
lowercase,34,-11.525816139710026
equivalent,300,-9.348394189669987
intro,500,-8.837568565903995
prefer,740,-8.445526478127972
trust,715,-8.47989412163218
muslim,539,-8.76246109341719
sentence,3052,-7.0286242719218395
muslims,419,-9.01430574440405
allah,86,-10.597829368072679
ha,273,-9.442704869141227
simple,1565,-7.696535561351934
mutilation,21,-12.007654226602764
connotation,89,-10.563540294594048
dysfunction,12,-12.567270014538186
doctor,387,-9.093751971296406
remove,13006,-5.57901059589709
wart,13,-12.48722730686465
nose,122,-10.24815561959293
disfigure,7,-13.106266515270875
plastic,56,-11.026824973591038
surgery,129,-10.192364259964515
clip,132,-10.169374741739816
fingernail,4,-13.665882303206297
morning,363,-9.157773830061336
mental,209,-9.709842412361377
hospital,227,-9.627226646844784
uncle,112,-10.333677793031093
mutilate,15,-12.344126463223978
extra,405,-9.048289597219648
common,2029,-7.4368783245003725
pork,28,-11.719972154150984
sausage,18,-12.161804906430023
nah,45,-11.245514174555868
perma,10,-12.749591571332141
block,11738,-5.681589943207908
guess,1711,-7.607343390433994
november,886,-8.265459713721107
brain,280,-9.417387061156937
troll,899,-8.250893629854566
nico,10,-12.749591571332141
disagreement,380,-9.112005411605756
town,822,-8.340436269270008
annex,61,-10.941302800152876
nazis,223,-9.64500489286607
german,1606,-7.67067476981948
notice,5193,-6.497109820481868
succeed,207,-9.719457871060818
enrage,6,-13.260417195098132
crackpot,31,-11.618189459841041
content,7436,-6.138088315484853
consistent,516,-8.806069898844624
rational,180,-9.859219813435978
reasoning,493,-8.851667490283496
view,5454,-6.448072100920654
worthy,367,-9.146814816271617
hysterical,22,-11.961134210967872
ordinated,5,-13.442738751892087
ad,711,-8.485504234522947
hominem,145,-10.075442921905614
attack,4649,-6.6077692426356025
pity,85,-10.609525407835871
screw,142,-10.096349606724926
easy,1560,-7.699735564082605
fester,5,-13.442738751892087
anger,156,-10.00232065707665
chew,30,-11.650979282664032
inside,377,-9.119931476878177
lousy,36,-11.468657725870077
definition,1895,-7.50520254680966
socialism,122,-10.24815561959293
wiki,5681,-6.40729411176906
disagree,1785,-7.565002970112448
incorrect,1119,-8.031985956014262
presently,126,-10.21589475737471
political,1782,-7.566685056295433
entity,355,-9.180058874850772
designation,124,-10.23189509872115
palestine,218,-9.6676816015371
gaza,111,-10.342646463013853
city,2421,-7.260240707388129
strip,176,-9.881692669288036
moment,941,-8.205233524740807
pdt,7,-13.106266515270875
tesla,62,-10.925042279281096
stuff,1892,-7.506786914714364
ugly,123,-10.23999230895377
american,3024,-7.037840927026764
irritate,63,-10.909041937934655
npov,1647,-7.645465934148547
liberty,225,-9.636076262121767
goddess,51,-11.120351031601862
someones,244,-9.555008439032985
gonna,297,-9.358444525523488
bitch,38,-11.414590504599802
yep,131,-10.176979341125035
david,827,-8.334371969302497
hodges,7,-13.106266515270875
slander,139,-10.117702731195497
greg,82,-10.645457417061934
pro,878,-8.274530070691071
bias,2542,-7.211470212576788
honest,568,-8.710055245605036
follow,1592,-7.679430297921859
holding,259,-9.495348602626649
favour,274,-9.439048557938117
homosexuality,112,-10.333677793031093
strictly,221,-9.654013962808435
speak,2434,-7.254885390778715
hold,1554,-7.703589133398594
superior,158,-9.98958163129922
sexual,314,-9.302783678417933
orientation,102,-10.427203851041916
aspire,13,-12.48722730686465
notion,262,-9.48383216056509
homophobic,41,-11.33860459762188
paint,107,-10.379347829864281
accept,2803,-7.113731113161399
manner,783,-8.389043968335384
suggest,4212,-6.706483791072321
desire,464,-8.912292112099932
promote,1301,-7.881288185813682
distinctly,34,-11.525816139710026
portray,176,-9.881692669288036
abnormal,16,-12.279587942086406
deviant,12,-12.567270014538186
post,6838,-6.221926094126941
industrial,124,-10.23189509872115
cosmopolitan,8,-12.972735122646352
lifestyle,70,-10.803681422276828
social,852,-8.304590137496872
norm,138,-10.124922979168982
strongly,646,-8.581377160543585
povs,77,-10.708371242472504
reject,544,-8.753227417470244
west,848,-8.309296028534284
progressive,183,-9.842690511484767
liberal,479,-8.880476066915271
belief,882,-8.269984608319396
conservative,474,-8.890969342631111
defend,755,-8.425458915077163
traditional,354,-9.182879751192413
morality,30,-11.650979282664032
heterosexual,39,-11.38861501819654
relationship,598,-8.658585910375555
state,2371,-7.281109578260782
objective,526,-8.786875451588477
engage,913,-8.23544078373122
extremely,682,-8.527147006482725
implication,210,-9.705069133608719
supposedly,198,-9.763909633631652
increase,650,-8.575204301436505
result,2807,-7.112305087964305
modern,1171,-7.98656330072847
acceptance,117,-10.290002729528432
occur,723,-8.468767442167422
western,813,-8.351445554778376
20th,243,-9.559115220985639
century,1240,-7.929310005727105
intend,1170,-7.987417636534386
revert,9006,-5.946530363464671
earn,211,-9.70031853085012
barnstar,945,-8.200991736832444
wikipedias,2546,-7.209897885208836
honor,283,-9.40672976668295
clean,1039,-8.10616267322696
utter,114,-10.315978215931692
nonsense,1188,-7.9721501644035975
hell,417,-9.019090442527386
help,1426,-7.789548063351946
maintain,715,-8.47989412163218
site,5e3,-6.53498347290995
drop,907,-8.242034214211051
pathetic,104,-10.407785765184816
entry,2446,-7.249967348079069
run,2115,-7.395366572845809
bother,896,-8.254236251351257
intelligence,386,-9.096339294861357
suspect,880,-8.272254756853936
taste,182,-9.848169977249393
entertainment,191,-9.799903236279558
loser,44,-11.267987030407927
dare,180,-9.859219813435978
answer,2888,-7.0838571643134705
england,688,-8.518387826392845
national,1820,-7.545584884255346
anthem,65,-10.87778939443055
wow,453,-8.936284538843154
clever,83,-10.63333605652959
smooth,72,-10.775510545310132
ass,86,-10.597829368072679
compromise,648,-8.578285967973912
hanging,86,-10.597829368072679
razor,26,-11.794080126304705
lol,671,-8.543407527354505
newcomer,427,-8.995392651097562
main,2819,-7.108039173212075
violent,100,-10.447006478338096
consensual,26,-11.794080126304705
person,5698,-6.404306149268334
primary,1214,-7.950500692706744
language,3967,-6.7664112438118575
latin,454,-8.934079466284839
account,4137,-6.724450497864776
cherokee,41,-11.33860459762188
participate,958,-8.187328886355326
project,2929,-7.069760317498454
dick,107,-10.379347829864281
big,498,-8.841576587301535
hahaha,40,-11.36329721021225
fanaticism,13,-12.48722730686465
reference,9671,-5.875289668609224
christianity,420,-9.011921953048773
NA,1106,-8.043671482243907
vandalise,475,-8.888861860291547
aug,77,-10.708371242472504
wind,315,-9.299604025500555
vandal,901,-8.248671406717849
undoing,181,-9.853679633060361
proofread,32,-11.586440761526461
anonymous,742,-8.442827421158807
accident,256,-9.506999219846625
fyi,290,-9.382295741345668
moron,53,-11.081884750774066
motherfucking,1,-15.052176664326188
butt,82,-10.645457417061934
kinda,202,-9.743908966924982
werewolf,8,-12.972735122646352
tf,13,-12.48722730686465
backstory,12,-12.567270014538186
deliberate,154,-10.015224061912559
typo,225,-9.636076262121767
funny,614,-8.632181736179044
resort,188,-9.815734701496238
insult,621,-8.62084558239271
quote,3445,-6.907497480878429
write,10963,-5.749895418651647
idiotic,52,-11.10093294574476
propaganda,669,-8.546392604197958
black,1299,-7.8828266476555875
book,5678,-6.407822327293271
insulting,276,-9.431775798609037
renault,23,-11.916682448397038
sad,406,-9.045823504724455
drive,820,-8.342872324067889
clio,16,-12.279587942086406
shit,125,-10.223862927023886
bo,36,-11.468657725870077
market,613,-8.633811728389976
gmail,83,-10.63333605652959
cool,908,-8.240932285724893
dig,197,-9.768972935588199
field,1413,-7.79870628164166
send,848,-8.309296028534284
invite,678,-8.533029376385793
judge,732,-8.456396150364876
come,911,-8.23763376706623
ego,126,-10.21589475737471
involvement,540,-8.760607524767867
underlie,113,-10.324788845613847
issue,7439,-6.137684954134846
resolve,981,-8.163604204760825
intention,725,-8.466005009471512
sound,1919,-7.492617168318487
treat,807,-8.358852996056239
wholeheartedly,28,-11.719972154150984
fly,413,-9.028729071365154
wink,28,-11.719972154150984
jesus,694,-8.509704703819382
scholar,772,-8.403192114301412
doubt,1342,-7.850260346794561
nut,114,-10.315978215931692
include,8345,-6.022758828230252
ph,90,-10.552366993995923
ds,62,-10.925042279281096
evolution,537,-8.766178569817322
kind,260,-9.49149503331066
consensus,3896,-6.784470999563761
historicity,31,-11.618189459841041
biologist,41,-11.33860459762188
thomas,354,-9.182879751192413
relax,74,-10.748111571122017
guy,2203,-7.354601317523844
conspiracy,523,-8.792595200261264
theory,2162,-7.373387666127034
laughable,69,-10.818070159728927
worth,985,-8.159535023154099
respond,1770,-7.5734418387583124
statement,3874,-6.790133820359246
prepare,356,-9.177245933474158
detailed,543,-8.755067344392252
indian,949,-8.196767865716259
scripture,119,-10.273053171214658
real,2945,-7.0643125682405
pleasure,156,-10.00232065707665
quiet,128,-10.20014640040657
sadly,176,-9.881692669288036
csi,13,-12.48722730686465
negative,780,-8.39288274464255
slash,55,-11.044843479093716
throat,36,-11.468657725870077
po,61,-10.941302800152876
girl,567,-8.711817360598435
blood,405,-9.048289597219648
eye,1191,-7.969628094970887
hiv,105,-10.398216314168664
infected,32,-11.586440761526461
vessel,66,-10.862521922299761
explanation,1965,-7.4689291400228255
biology,137,-10.132195738498062
prof,156,-10.00232065707665
theoretically,53,-11.081884750774066
slim,95,-10.498299772725646
pause,46,-11.223535267837093
recieving,16,-12.279587942086406
facial,31,-11.618189459841041
lunatic,30,-11.650979282664032
dear,923,-8.224547429823335
mark,1298,-7.883596767062152
cold,292,-9.375422862057906
blooded,14,-12.41311933471093
addition,2111,-7.397259616477867
prove,2141,-7.383148375736504
gah,3,-13.953564375658077
mess,689,-8.51693539331253
ft2,20,-12.056444390772196
cheesedreams,12,-12.567270014538186
practical,174,-9.893121365111659
insistence,67,-10.847484044935221
sort,1990,-7.456286746607649
authority,898,-8.252006596023987
mediator,108,-10.370045437201968
annoy,340,-9.22323104671598
horrible,134,-10.154336864375276
gospel,148,-10.054964390562072
pure,353,-9.185708607392892
process,2267,-7.325964013818658
predict,146,-10.068570042617852
proceed,343,-9.214446217160248
pretend,322,-9.27762511878178
ream,10,-12.749591571332141
evidence,3404,-6.919470174632923
argument,2802,-7.114087937429235
corrupt,149,-10.048230358380728
practice,1098,-8.050931042256712
arbitration,805,-8.361334386907624
kevin,159,-9.983272462105957
baa,10,-12.749591571332141
shorne,4,-13.665882303206297
propose,2329,-7.298982394441847
decision,1303,-7.879752087201342
administration,318,-9.290125281546011
manifestly,15,-12.344126463223978
afraid,523,-8.792595200261264
fight,1379,-7.823062786532885
rationally,27,-11.756339798321859
ku,34,-11.525816139710026
klux,22,-11.961134210967872
klan,49,-11.160356366215561
kant,24,-11.874122833978241
sight,178,-9.870393114034103
life,2562,-7.203633181869508
endorsement,102,-10.427203851041916
sam,160,-9.97700284909236
spade,71,-10.789496787284872
uncomfortable,59,-10.974639220420467
undesirable,26,-11.794080126304705
unfortunate,157,-9.995930858977879
candidate,764,-8.413608875159667
election,788,-8.382678574468308
subject,6200,-6.319872093293005
scrutiny,104,-10.407785765184816
care,2119,-7.3934771060578885
blank,915,-8.233252599050665
sams,9,-12.854952086989968
close,2103,-7.401056488623488
solution,707,-8.491145998429614
voice,667,-8.549386618410564
opposition,373,-9.130598244682371
justification,362,-9.160532452500416
personal,4939,-6.547258503785563
aware,1629,-7.656455055724142
begin,1510,-7.732311734517217
strong,1058,-8.088041051907943
community,2479,-7.236566132290997
allow,1629,-7.656455055724142
con,167,-9.934182851909432
additional,760,-8.41885823104581
link,14285,-5.485211349661314
top,5246,-6.4869555038993685
original,4020,-6.753139482713121
york,812,-8.35267632416451
gun,470,-8.899443969622084
hundred,590,-8.672054127426422
nigga,4,-13.665882303206297
ja,59,-10.974639220420467
ft,95,-10.498299772725646
fat,137,-10.132195738498062
joe,297,-9.358444525523488
modify,254,-9.514842397307651
shoe,73,-10.761717223177797
sock,1148,-8.006400087446675
puppet,469,-8.901573895879908
intentioned,44,-11.267987030407927
stone,348,-9.199974184551714
half,984,-8.160550767273934
andyl,2,-14.359029483766243
canadian,458,-8.925307480212002
red,1100,-8.049111205539726
ensign,22,-11.961134210967872
zundel,2,-14.359029483766243
everyday,115,-10.307244535962937
forever,254,-9.514842397307651
expect,1254,-7.918082943133322
wing,470,-8.899443969622084
ding,11,-12.654281391527817
rally,62,-10.925042279281096
bunch,388,-9.091171324702914
bag,82,-10.645457417061934
cherished,7,-13.106266515270875
symbol,398,-9.06572465904175
canada,728,-8.461875616129502
protect,1600,-7.674417756098315
reckless,46,-11.223535267837093
effort,1443,-7.777697105552316
insignificant,73,-10.761717223177797
sighting,16,-12.279587942086406
eh,190,-9.805152592165701
continue,4671,-6.60304820382408
debate,1585,-7.683836978014806
racist,426,-8.997737318056817
infinitum,13,-12.48722730686465
armchairvexillologistdon,3,-13.953564375658077
direct,1427,-7.788847046849351
knowledge,1622,-7.6607614296508295
vexillology,5,-13.442738751892087
study,1853,-7.5276154380408276
flag,998,-8.146423388014723
understand,4784,-6.57914436869572
unjustified,105,-10.398216314168664
quebec,81,-10.657727509653748
drag,133,-10.161827536104434
mud,58,-10.991733653779768
unfairly,77,-10.708371242472504
similiar,19,-12.107737685159748
consideration,389,-9.088597320707741
flow,320,-9.283855668532414
sincerely,332,-9.247041695409699
respectfully,123,-10.23999230895377
yesterday,410,-9.036019504627834
note,8014,-6.0632313731300975
slanderous,37,-11.441258751681962
neo,211,-9.70031853085012
facists,3,-13.953564375658077
regard,576,-8.696069003630296
web,2182,-7.364179497933171
government,2013,-7.444795238686396
fit,844,-8.31402416973023
archive,1037,-8.10808945609666
detail,2199,-7.356418673771426
event,2004,-7.449276202121432
rate,694,-8.509704703819382
decide,2786,-7.119814509986436
dispute,2995,-7.047477153776637
pleased,130,-10.184642213870605
choose,1469,-7.75983948815231
facist,10,-12.749591571332141
stay,2160,-7.374313163647977
involve,2586,-7.194309104994384
passion,107,-10.379347829864281
fine,1615,-7.66508642866943
picture,3306,-6.948682385945218
proof,1215,-7.949677308551538
ernst,37,-11.441258751681962
rebutal,4,-13.665882303206297
dec,151,-10.034896827511263
http,6198,-6.320194725978494
www,3590,-6.866269182843863
org,3037,-7.0335511992804385
persecute,73,-10.761717223177797
html,1135,-8.017788734410685
austrian,88,-10.574839849847981
free,5889,-6.371335181381617
austria,72,-10.775510545310132
index,849,-8.30811747801484
flagspot,4,-13.665882303206297
net,738,-8.448232839725716
land,763,-8.414918633041731
austro,11,-12.654281391527817
hungarian,202,-9.743908966924982
varied,40,-11.36329721021225
world,4273,-6.692105228682163
head,1666,-7.6339958415994
wave,295,-9.365201307986368
nauseam,9,-12.854952086989968
rude,409,-9.038461508283385
arrogant,109,-10.360828782097043
bully,325,-9.26835148199645
totally,914,-8.234346092872038
inappropriate,1022,-8.122659893562538
napoleon,58,-10.991733653779768
complex,422,-9.007171350290175
stub,1044,-8.101361895883603
learn,2796,-7.116231560972486
improve,2674,-7.160845906664299
boy,594,-8.665297344963543
ironic,99,-10.457056814191597
improperly,67,-10.847484044935221
refuse,695,-8.508264818761395
apologize,717,-8.477100823726568
tough,149,-10.048230358380728
threaten,558,-8.727817701944877
viriditas,32,-11.586440761526461
activity,789,-8.381410343480313
violation,1688,-7.620876989170285
jayjg,71,-10.789496787284872
sockpuppet,509,-8.819728647775664
continued,539,-8.76246109341719
guard,251,-9.526723725194403
zionist,145,-10.075442921905614
hatchet,20,-12.056444390772196
yasser,9,-12.854952086989968
arafat,18,-12.161804906430023
prevent,986,-8.158520309723553
alter,764,-8.413608875159667
admit,978,-8.16666699429137
argue,1484,-7.749680240598861
pename,9,-12.854952086989968
hour,1791,-7.561647262265476
violate,1426,-7.789548063351946
interpret,377,-9.119931476878177
discretion,84,-10.621359865482875
debatable,68,-10.83266895915008
occupied,185,-9.831820839247863
territory,569,-8.708296230199856
push,1004,-8.140429364074514
petty,161,-9.970772299341725
authoritarian,65,-10.87778939443055
agenda,619,-8.624071391641591
insecurity,19,-12.107737685159748
quickly,577,-8.694334397818087
future,1925,-7.489495417604303
weasel,206,-9.724300495536607
ahead,731,-8.457763204576409
contribute,3229,-6.9722488935679126
complaint,709,-8.48832113779406
populated,61,-10.941302800152876
immature,78,-10.695467837636595
twerp,3,-13.953564375658077
fascist,162,-9.964580329093803
bigot,72,-10.775510545310132
islamophobe,5,-13.442738751892087
hate,829,-8.331956509190892
monger,15,-12.344126463223978
hog,27,-11.756339798321859
demand,502,-8.833576544634457
outsider,70,-10.803681422276828
meet,2304,-7.309774642510406
jimbo,307,-9.32532891673899
roll,398,-9.06572465904175
grave,123,-10.23999230895377
dead,757,-8.422813410888738
complain,604,-8.648602466391372
rabbi,99,-10.457056814191597
shoot,769,-8.407085694820543
arab,656,-8.566015875382098
frustration,130,-10.184642213870605
put,938,-8.208426715319963
humus,15,-12.344126463223978
sapiens,31,-11.618189459841041
izak,18,-12.161804906430023
gamaliel,46,-11.223535267837093
borg,12,-12.567270014538186
jfdwolff,7,-13.106266515270875
true,2983,-7.051491879811439
israeli,504,-8.829600396254818
killing,330,-9.253084009865661
palestinian,402,-9.055724575707167
kill,863,-8.29176197324276
jew,1113,-8.037362313050643
hide,788,-8.382678574468308
reader,2078,-7.413015492667014
sandbox,2093,-7.405822941880188
wipe,122,-10.24815561959293
fucker,3,-13.953564375658077
sand,91,-10.541317157809338
box,1483,-7.750354322188255
acusing,3,-13.953564375658077
phrase,990,-8.154471721197552
anti,1672,-7.630400870681541
islamic,433,-8.981438936323698
past,1823,-7.543937889647524
sic,109,-10.360828782097043
deem,249,-9.534723767861479
acceptable,995,-8.149433927167594
removal,1053,-8.092778152192212
warning,2537,-7.2134391047269055
response,2125,-7.39064958296767
reply,2240,-7.337945519477102
modified,244,-9.555008439032985
apply,1840,-7.534655813723156
oneguy,11,-12.654281391527817
liable,51,-11.120351031601862
outrageous,87,-10.586268545671604
like,310,-9.315604366846996
ta,102,-10.427203851041916
bu,45,-11.245514174555868
shi,20,-12.056444390772196
da,239,-9.575713112394677
character,1945,-7.479159408273641
oneguys,5,-13.442738751892087
lie,1553,-7.7042328411775
simply,3687,-6.839608266092043
password,159,-9.983272462105957
conjure,9,-12.854952086989968
matter,4006,-6.756628148100424
yu,40,-11.36329721021225
bring,2182,-7.364179497933171
gangster,20,-12.056444390772196
behaviour,626,-8.612826293226089
fortunately,68,-10.83266895915008
kick,191,-9.799903236279558
commie,22,-11.961134210967872
underway,41,-11.33860459762188
rediculous,16,-12.279587942086406
template,4432,-6.655570435899068
amazon,246,-9.546845128393825
source,20715,-5.113563309814685
connection,828,-8.333163509940928
saga,42,-11.314507046042818
ion,42,-11.314507046042818
ios,16,-12.279587942086406
pl,76,-10.721443324039857
weapon,337,-9.232093733973826
scythian,5,-13.442738751892087
tribe,351,-9.19139044086032
id,798,-8.370068066876378
ii,628,-8.60963649785799
persian,546,-8.749557688581282
acc,31,-11.618189459841041
edge,188,-9.815734701496238
join,1194,-7.96711237037364
cyr,5,-13.442738751892087
double,632,-8.60328727017933
phil,118,-10.281492039860522
axe,97,-10.477465685822805
refrain,680,-8.530083866156035
observation,316,-9.296434450739275
anon,308,-9.322076881352613
reading,1828,-7.541198912312092
wonder,983,-8.161567544179022
im,744,-8.440135629493096
santa,82,-10.645457417061934
school,2883,-7.0855899666877855
curious,462,-8.916611773244448
create,8138,-6.0478769357645525
surrealism,23,-11.916682448397038
keith,98,-10.467209185655616
wigdor,20,-12.056444390772196
forward,908,-8.240932285724893
check,4631,-6.611648557845435
ago,1777,-7.569494836171536
occure,106,-10.38873757021412
total,781,-8.391601514486501
surrealist,12,-12.567270014538186
movement,1045,-8.100404499927276
emerge,171,-9.910513107823528
digital,222,-9.649499282453908
artist,812,-8.35267632416451
fancy,84,-10.621359865482875
times,2901,-7.079365880204783
